Bear,Date,Time,Latitude,Longitude
1,07.04.2014,3:31:00,70.8738282,-148.3034679
1,07.04.2014,4:00:16,70.8740983,-148.3045679
1,07.04.2014,4:30:30,70.8738308,-148.3041519
1,07.04.2014,5:00:15,70.8738191,-148.3041519
1,07.04.2014,5:30:16,70.8738812,-148.3042736
1,07.04.2014,6:00:19,70.8738397,-148.3041984
1,07.04.2014,6:30:08,70.8738512,-148.3041697
1,07.04.2014,7:00:08,70.8738425,-148.3041608
1,07.04.2014,7:30:15,70.8738468,-148.3041929
1,07.04.2014,8:00:17,70.8738338,-148.3042073
1,07.04.2014,8:30:29,70.8738295,-148.3042217
1,07.04.2014,9:00:16,70.8738322,-148.304184
1,07.04.2014,9:30:07,70.8738191,-148.3041519
1,07.04.2014,10:00:09,70.8738614,-148.304091
1,07.04.2014,10:30:01,70.8738407,-148.3041088
1,07.04.2014,11:00:10,70.8738249,-148.3042073
1,07.04.2014,11:30:26,70.8738121,-148.3042504
1,07.04.2014,12:00:01,70.8738345,-148.3043578
1,07.04.2014,12:30:07,70.8738274,-148.3044187
1,07.04.2014,13:00:15,70.8737579,-148.3048667
1,07.04.2014,13:30:09,70.8737544,-148.3050315
1,07.04.2014,14:00:30,70.8737441,-148.3050548
1,07.04.2014,14:30:10,70.8737776,-148.3050582
1,07.04.2014,15:00:02,70.8737868,-148.3044761
1,07.04.2014,15:30:08,70.8752534,-148.3035832
1,07.04.2014,16:00:01,70.875553,-148.3026556
1,07.04.2014,16:30:16,70.8814049,-148.3031577
1,07.04.2014,17:00:30,70.8800822,-148.2962439
1,07.04.2014,17:30:16,70.878799,-148.2931872
1,07.04.2014,18:00:08,70.8794953,-148.2913136
1,07.04.2014,18:30:08,70.8790913,-148.2928292
1,07.04.2014,19:00:08,70.8789389,-148.2921458
1,07.04.2014,19:30:01,70.8874041,-148.2863024
1,07.04.2014,20:00:28,70.8873809,-148.2863311
1,07.04.2014,20:30:17,70.8873565,-148.2864208
1,07.04.2014,21:00:08,70.8873911,-148.2863167
1,07.04.2014,21:30:08,70.8873797,-148.286392
1,07.04.2014,22:00:08,70.8873752,-148.2863688
1,07.04.2014,22:30:19,70.8873751,-148.2863222
1,07.04.2014,23:00:16,70.8873782,-148.2863688
1,07.04.2014,23:30:01,70.8874046,-148.2863688
1,08.04.2014,0:00:08,70.8873403,-148.2863975
1,08.04.2014,0:30:08,70.8873567,-148.2864584
1,08.04.2014,1:00:01,70.8873785,-148.286453
1,08.04.2014,1:30:29,70.887371,-148.2863743
1,08.04.2014,2:00:15,70.8873798,-148.2863831
1,08.04.2014,2:30:08,70.8873842,-148.2864064
1,08.04.2014,3:00:08,70.8873753,-148.2863599
1,08.04.2014,3:30:07,70.8874018,-148.2864064
1,08.04.2014,4:00:01,70.8873393,-148.2863209
1,08.04.2014,4:30:29,70.8873488,-148.2863133
1,08.04.2014,5:00:15,70.8873299,-148.2863188
1,08.04.2014,5:30:16,70.8873617,-148.2862613
1,08.04.2014,6:00:10,70.887178,-148.2860341
1,08.04.2014,6:30:30,70.8874097,-148.2862736
1,08.04.2014,7:00:17,70.8874069,-148.2862647
1,08.04.2014,7:30:08,70.8874142,-148.2865105
1,08.04.2014,8:00:11,70.8874589,-148.2864475
1,08.04.2014,8:30:25,70.8873871,-148.2864153
1,08.04.2014,9:00:07,70.8873722,-148.2863222
1,08.04.2014,9:30:11,70.8873504,-148.2863277
1,08.04.2014,10:00:22,70.8873783,-148.2863599
1,08.04.2014,10:30:22,70.8874,-148.286299
1,08.04.2014,11:00:44,70.887287,-148.2864509
1,08.04.2014,11:30:09,70.8873895,-148.2863024
1,08.04.2014,12:00:20,70.8873545,-148.2862757
1,08.04.2014,12:30:16,70.8873563,-148.2863277
1,08.04.2014,13:00:01,70.8873269,-148.2865413
1,08.04.2014,13:30:24,70.8873797,-148.2863366
1,08.04.2014,14:00:07,70.8901634,-148.2883469
1,08.04.2014,14:30:16,70.8908517,-148.3033735
1,08.04.2014,15:00:08,70.89085,-148.3033126
1,08.04.2014,15:30:09,70.8908529,-148.3033126
1,08.04.2014,16:00:19,70.8916623,-148.3205983
1,08.04.2014,16:30:15,70.8916624,-148.3206448
1,08.04.2014,17:00:15,70.8916318,-148.3206503
1,08.04.2014,17:30:15,70.8915905,-148.3204462
1,08.04.2014,18:00:15,70.8916774,-148.3206647
1,08.04.2014,18:30:16,70.8917527,-148.3207161
1,08.04.2014,19:00:19,70.8916856,-148.3205051
1,08.04.2014,19:30:09,70.8914295,-148.3205597
1,08.04.2014,20:00:01,70.8914853,-148.3207172
1,08.04.2014,20:30:17,70.8913832,-148.3209793
1,08.04.2014,21:00:30,70.8914678,-148.3207083
1,08.04.2014,21:30:16,70.8914971,-148.3207172
1,08.04.2014,22:00:08,70.8914667,-148.3207514
1,08.04.2014,22:30:00,70.8914252,-148.3208896
1,08.04.2014,23:00:08,70.8914262,-148.3208554
1,08.04.2014,23:30:25,70.8913959,-148.3208896
1,09.04.2014,0:00:07,70.8914044,-148.3208609
1,09.04.2014,0:30:15,70.8914001,-148.3208842
1,09.04.2014,1:00:16,70.8914363,-148.3207945
1,09.04.2014,1:30:25,70.8913901,-148.3209362
1,09.04.2014,2:00:07,70.8914309,-148.3209074
1,09.04.2014,2:30:09,70.8913826,-148.3208663
1,09.04.2014,3:00:08,70.8913887,-148.320904
1,09.04.2014,3:30:17,70.8916319,-148.3206325
1,09.04.2014,4:00:25,70.8924129,-148.3206655
1,09.04.2014,4:30:08,70.8924028,-148.3206799
1,09.04.2014,5:00:08,70.8924113,-148.3206511
1,09.04.2014,5:30:08,70.8923967,-148.3206422
1,09.04.2014,6:00:07,70.8923983,-148.3206655
1,09.04.2014,6:30:30,70.8924127,-148.3206368
1,09.04.2014,7:00:18,70.8924021,-148.3209647
1,09.04.2014,7:30:17,70.8923373,-148.320936
1,09.04.2014,8:00:08,70.8924279,-148.3208052
1,09.04.2014,8:30:07,70.8924867,-148.3207874
1,09.04.2014,9:00:16,70.8924104,-148.3207874
1,09.04.2014,9:30:01,70.8924112,-148.3205491
1,09.04.2014,10:00:00,70.8924276,-148.3206655
1,09.04.2014,10:30:10,70.8924086,-148.3206888
1,09.04.2014,11:00:17,70.8930577,-148.3201021
1,09.04.2014,11:30:30,70.8958537,-148.3314114
1,09.04.2014,12:00:48,70.8958654,-148.3313648
1,09.04.2014,12:30:08,70.8958654,-148.3313559
1,09.04.2014,13:00:08,70.8958302,-148.3313559
1,09.04.2014,13:30:08,70.8962742,-148.3303541
1,09.04.2014,14:00:09,70.9005982,-148.3538385
1,09.04.2014,14:30:12,70.9041778,-148.3754451
1,09.04.2014,15:00:43,70.9067366,-148.3893444
1,09.04.2014,15:30:16,70.9121592,-148.4266903
1,09.04.2014,16:00:17,70.9214784,-148.451202
1,09.04.2014,16:30:08,70.9231079,-148.4612726
1,09.04.2014,17:00:09,70.9231033,-148.4612206
1,09.04.2014,17:30:08,70.9230832,-148.4612779
1,09.04.2014,18:00:30,70.9230949,-148.4612779
1,09.04.2014,18:30:16,70.9231108,-148.4612816
1,09.04.2014,19:00:02,70.9230917,-148.4612025
1,09.04.2014,19:30:01,70.9230832,-148.4612779
1,09.04.2014,20:00:29,70.9230571,-148.4613533
1,09.04.2014,20:30:16,70.9230789,-148.4613013
1,09.04.2014,21:00:09,70.9230832,-148.4612869
1,09.04.2014,21:30:08,70.9230248,-148.4613156
1,09.04.2014,22:00:30,70.9230789,-148.4613013
1,09.04.2014,22:30:16,70.9230775,-148.4613156
1,09.04.2014,23:00:07,70.9231601,-148.4611776
1,09.04.2014,23:30:01,70.9237987,-148.4692711
1,10.04.2014,0:00:16,70.9237624,-148.4692584
1,10.04.2014,0:30:19,70.9237168,-148.4691973
1,10.04.2014,1:00:15,70.9237181,-148.469183
1,10.04.2014,1:30:08,70.9236992,-148.4691973
1,10.04.2014,2:00:15,70.9237226,-148.4692064
1,10.04.2014,2:30:08,70.9237285,-148.4692531
1,10.04.2014,3:00:55,70.9236742,-148.469183
1,10.04.2014,3:30:20,70.9237022,-148.469691
1,10.04.2014,4:00:16,70.9240239,-148.4756169
1,10.04.2014,4:30:07,70.9241193,-148.4755665
1,10.04.2014,5:00:09,70.9240998,-148.4755325
1,10.04.2014,5:30:16,70.9241076,-148.4756222
1,10.04.2014,6:00:30,70.9240548,-148.4756312
1,10.04.2014,6:30:15,70.9243816,-148.478428
1,10.04.2014,7:00:08,70.9243889,-148.4784136
1,10.04.2014,7:30:08,70.9243758,-148.4784747
1,10.04.2014,8:00:08,70.9243773,-148.4784513
1,10.04.2014,8:30:08,70.9243846,-148.4784747
1,10.04.2014,9:00:09,70.9243701,-148.4784566
1,10.04.2014,9:30:25,70.9243831,-148.4784513
1,10.04.2014,10:00:08,70.924384,-148.4787332
1,10.04.2014,10:30:08,70.9244291,-148.4786902
1,10.04.2014,11:00:09,70.9244431,-148.4784837
1,10.04.2014,11:30:29,70.9243878,-148.4784943
1,10.04.2014,12:00:20,70.9244051,-148.4784837
1,10.04.2014,12:30:16,70.9243758,-148.478428
1,10.04.2014,13:00:01,70.9243962,-148.478437
1,10.04.2014,13:30:01,70.9243597,-148.4783956
1,10.04.2014,14:00:30,70.9243845,-148.478437
1,10.04.2014,14:30:16,70.9243846,-148.4784747
1,10.04.2014,15:00:02,70.9244021,-148.4784837
1,10.04.2014,15:30:08,70.9247247,-148.4774312
1,10.04.2014,16:00:01,70.9247202,-148.4774079
1,10.04.2014,16:30:02,70.9247351,-148.4774923
1,10.04.2014,17:00:09,70.924052,-148.4756689
1,10.04.2014,17:30:09,70.923088,-148.4761568
1,10.04.2014,18:00:08,70.9231111,-148.4761372
1,10.04.2014,18:30:09,70.9230924,-148.4761801
1,10.04.2014,19:00:02,70.9230896,-148.4761711
1,10.04.2014,19:30:30,70.9230837,-148.4761711
1,10.04.2014,20:00:16,70.9230663,-148.4761998
1,10.04.2014,20:30:08,70.9234939,-148.4767186
1,10.04.2014,21:00:08,70.9243585,-148.4784943
1,10.04.2014,21:30:09,70.9243582,-148.478428
1,10.04.2014,22:00:09,70.9243508,-148.4784046
1,10.04.2014,22:30:29,70.9243645,-148.478532
1,10.04.2014,23:00:17,70.9243485,-148.4784996
1,10.04.2014,23:30:01,70.9243527,-148.4784853
1,11.04.2014,0:00:09,70.9243557,-148.4784853
1,11.04.2014,0:30:10,70.9243556,-148.4784943
1,11.04.2014,1:00:08,70.9243525,-148.4784566
1,11.04.2014,1:30:25,70.9243527,-148.4784853
1,11.04.2014,2:00:07,70.9243512,-148.4784709
1,11.04.2014,2:30:09,70.9270934,-148.4911237
1,11.04.2014,3:00:01,70.9329096,-148.5269905
1,11.04.2014,3:30:08,70.934797,-148.5603818
1,11.04.2014,4:00:26,70.9348072,-148.5603675
1,11.04.2014,4:30:09,70.9346813,-148.5600414
1,11.04.2014,5:00:00,70.935629,-148.590864
1,11.04.2014,5:30:08,70.938459,-148.6271234
1,11.04.2014,6:00:09,70.9414805,-148.6587002
1,11.04.2014,6:30:08,70.9526425,-148.6739347
1,11.04.2014,7:00:30,70.9623767,-148.6898704
1,11.04.2014,7:30:16,70.9769975,-148.7114471
1,11.04.2014,8:00:08,70.9905931,-148.7257571
1,11.04.2014,8:30:08,71.0005907,-148.7329224
1,11.04.2014,9:00:10,71.0006009,-148.7329081
1,11.04.2014,9:30:15,71.0006125,-148.7329173
1,11.04.2014,10:00:40,71.0006125,-148.7329173
